severity,verdict,category,name,price,unit,benchLo,benchHi,benchSrc,ratio,packChain,supplier,lastInvoiceDate,reasons
MEDIUM,ABOVE MARKET,PROD,MUSHROOM CRIMINI UNSIZD FRESH,21.259928158638896,kg,4,12,STATCAN,1.7716606798865746,1 case = 1 each → 1 each = 1360.776 g,Sysco,,$21.26/kg is 1.8× the top of the BC band ($4–$12/kg)
MEDIUM,ABOVE MARKET,MEAT,Ground Venison,79.32,kg,22,45,FS,1.7626666666666666,1 each = 1 each → 1 each = 1000 g,,,$79.32/kg is 1.8× the top of the BC band ($22–$45/kg)
MEDIUM,ABOVE MARKET,PROD,Sage,79.0137392193866,kg,9,45,FS,1.7558608715419244,1 pack = 1 each → 1 each = 113.398 g,Sysco,,$79.01/kg is 1.8× the top of the BC band ($9–$45/kg)
MEDIUM,ABOVE MARKET,DRY,poppy seed,34.74999999999999,kg,3,20,STATCAN,1.7374999999999996,1 each = 1 each → 1 each = 640 g,,,$34.75/kg is 1.7× the top of the BC band ($3–$20/kg)
MEDIUM,ABOVE MARKET,DRY,TOFU EXTRA FIRM ORGANIC,23.319047619047616,kg,4,14,STATCAN,1.665646258503401,1 case = 12 each → 1 each = 350 g,Sysco,,$23.32/kg is 1.7× the top of the BC band ($4–$14/kg)
MEDIUM,ABOVE MARKET,PROD,Chives FARM,123.45896753029155,kg,25,75,FS,1.646119567070554,1 each = 1 each → 1 each = 113.398 g,Brew Creek Farm,,$123.46/kg is 1.6× the top of the BC band ($25–$75/kg)
MEDIUM,ABOVE MARKET,DRY,Almond slices,48.94,kg,12,30,STATCAN,1.6313333333333333,1 case = 3 each → 1 each = 1000 g,Sysco,,$48.94/kg is 1.6× the top of the BC band ($12–$30/kg)
MEDIUM,ABOVE MARKET,PROD,Beets,8.902273408702094,kg,1.8,5.5,FS,1.6185951652185624,1 each = 1 each → 1 each = 4535.92 g,Sysco,,$8.90/kg is 1.6× the top of the BC band ($1.8–$5.5/kg)
MEDIUM,ABOVE MARKET,DAIRY,Cheddar smoked,34.23,kg,11,22,STATCAN,1.5559090909090907,1 case = 1000 g,Sysco,,$34.23/kg is 1.6× the top of the BC band ($11–$22/kg)
MEDIUM,ABOVE MARKET,PROD,"Green Onions O/S — bunch, Rootdown Farm in Pemberton, BC (organic)",4.39,each,0.8,3,FS,1.4633333333333332,1 bunch = 1 each → 1 each = 1 each,North Arm Farms,,$4.39/each is 1.5× the top of the BC band ($0.8–$3/each)
MEDIUM,BELOW MARKET,DRY,Flaked SkipJack Tuna,18.382513661202186,kg,26,55,FS,0.7070197562000841,1 case = 6 each → 1 each = 1220 g,,,$18.38/kg is 1.4× BELOW the bottom of the BC band ($26–$55/kg) — under-costing risk
MEDIUM,ABOVE MARKET,PROD,Baby Mixed Greens,35.16375950193125,kg,9,26,STATCAN,1.3524522885358174,1 box = 453.592 g,Brew Creek Farm,,$35.16/kg is 1.4× the top of the BC band ($9–$26/kg)
MEDIUM,ABOVE MARKET,PROD,Golf Ball Onions,6.724104481560522,kg,1.2,5,STATCAN,1.3448208963121044,1 bag = 1 each → 1 each = 453.592 g,North Arm Farms,,$6.72/kg is 1.3× the top of the BC band ($1.2–$5/kg)
MEDIUM,BELOW MARKET,DRY,Garlic Powder,2.976190476190476,kg,4,70,FS,0.744047619047619,1 case = 12 each → 1 each = 525 g,Sysco,,$2.98/kg is 1.3× BELOW the bottom of the BC band ($4–$70/kg) — under-costing risk
MEDIUM,ABOVE MARKET,PROD,Limes,9.15139596818286,kg,2.5,7,STATCAN,1.3073422811689799,1 each = 1 each → 1 each = 4535.92 g,Sysco,,$9.15/kg is 1.3× the top of the BC band ($2.5–$7/kg)
MEDIUM,ABOVE MARKET,PROD,ONION FRESH CIPPOLINI,16.75514559339671,kg,5,13,FS,1.2888573533382084,1 case = 1 each → 1 each = 4535.92 g,Sysco,,$16.76/kg is 1.3× the top of the BC band ($5–$13/kg)
MEDIUM,FORMAT,PREPD,Brioche French Toast Slice,1.4970479662172123,each,,,,,1 batch = 57 each,,,pack format is malformed on a recipe-linked item
MEDIUM,FORMAT,PREPD,Buttermilk Biscuits,0.4721609815915562,each,,,,,1 batch = 55 each,,,pack format is malformed on a recipe-linked item
MEDIUM,FORMAT,PREPD,English Muffins (Sourdough Whole Wheat),0.3735637258924365,each,,,,,1 batch = 72 each,,,pack format is malformed on a recipe-linked item
MEDIUM,FORMAT,PREPD,Scones,0.4190737870778268,each,,,,,1 batch = 25 each,,,pack format is malformed on a recipe-linked item
MEDIUM,FORMAT,PREPD,Sourdough Bread,0.21441009953763376,each,,,,,1 batch = 72 each,,,pack format is malformed on a recipe-linked item
MEDIUM,DUPLICATE,PROD,LETTUCE BOSTON /BUTTER FRESH,2.41,each,1.2,3.4,STATCAN,,1 case = 24 each → 1 each = 1 each,Sysco,,duplicate item — another active row carries the same product name
MEDIUM,DUPLICATE,PROD,LETTUCE BOSTON /BUTTER FRESH,2.41,each,1.2,3.4,STATCAN,,1 case = 24 each → 1 each = 1 each,Sysco,,duplicate item — another active row carries the same product name
MEDIUM,DUPLICATE,PROD,LETTUCE ROMAINE HEART OF FRSH,1.6664583333333332,each,1.2,3.2,STATCAN,,1 case = 4 pack → 1 pack = 12 each,Sysco,,duplicate item — another active row carries the same product name
MEDIUM,DUPLICATE,PROD,LETTUCE ROMAINE HEART OF FRSH,3.2408333333333332,each,1.2,3.2,STATCAN,,1 case = 12 each → 1 each = 1 each,Sysco,,duplicate item — another active row carries the same product name
